munic;pib;pib_pcap;area;dist_cap;pleb_caraj_dum;pleb_tapaj_dum;dum_car;dum_tap;bf;acomp_fami_bf;ifdm;emprego_renda;educ;saude;ifgf;rec_propria;pessoal;invest;liquidez;custo_divida;var_politica;carajsim;tapsim
Nova Ipixuna;53906.359;3570.67;1564.2;481;1;1;1;0;569;0.5187;0.491956284;0.357190686;0.506992245;0.611685922;0.436665471;0.104243061;0.546720197;0.222402032;0.689302205;0.850652853;1934300.32;0.965002134;0.965207472
Nova Timboteua;44749.252;3529.96;489.9;144;0;0;0;0;1084;0.8742;0.460465045;0.276658595;0.547690527;0.557046012;0.293319879;0.022647159;0;0.280678949;0.620832931;0.853840954;1544767.98;0.026794005;0.026915937
Novo Progresso;150373.87;6992.83;38162.4;1818;1;1;0;1;465;0.5071;0.577779333;0.415059907;0.717640164;0.600637929;0.539914902;0.14786564;0.697166155;0.668062852;0.442082695;1;3443818.68;0.971363905;0.977650881
Novo Repartimento;237766.778;4263.96;15398.7;438.2;1;1;1;0;2656;0.5669;0.514884828;0.430655795;0.484282386;0.629716303;0.427444591;0.142988983;0.442553465;0.541998308;0.351312926;0.947025127;8616256.33;0.956019812;0.955625163
cbidos;205298.023;4239.15;28021.3;1000;1;1;0;1;2989;0.6792;0.488035801;0.281047428;0.638066825;0.544993149;;;;;;;3945214.90;0.914030449;0.924877915
Oeiras do Para;89607.398;3344.06;3852.3;783;0;0;0;0;1985;1;0.508579747;0.380384669;0.519055384;0.626299189;;;;;;;3091808.46;0.022053983;0.02585639
Oriximina;852071.453;14519.9;107603;1045;1;1;0;1;3290;0.807;0.624900591;0.61018269;0.644019577;0.620499505;0.589787663;0.227141878;0.747124295;0.320213596;1;0.735297149;10066252.56;0.791414103;0.808846095
Ourem;49183.366;3104.81;562.4;190;0;0;0;0;1730;0.9841;0.521206354;0.231407355;0.674913861;0.657297846;0.492954986;0.144688538;0.747642882;0.440048919;0.48743528;0.834964717;1741839.22;0.021094191;0.024918255
Ourilandia do Norte;218164.866;10229.51;14339.4;918.5;1;1;1;0;642;0.4058;0.693594935;0.680995751;0.708935757;0.690853296;0.768043823;1;0.868018565;1;0.11476177;0.969182474;2978388.78;0.950981932;0.94975191
Pacaja;158200.592;3770.9;11832.3;506;1;1;1;0;1739;0.5707;0.463597704;0.319583574;0.42602345;0.645186089;;;;;;;3922543.59;0.918817957;0.919092123
Palestina do Para;30205.085;4137.12;984.4;634;1;1;1;0;622;0.8687;0.485705929;0.318104906;0.547082358;0.591930522;0.386571239;0.134064756;0.716800881;0.107567497;0.31718304;0.995575996;1190141.55;0.985380117;0.986645299
Paragominas;878875.212;9027.99;19341.9;311;0;0;0;0;2955;0.4105;0.550685416;0.31395866;0.703870712;0.634226875;0.583918771;0.244090386;0.441056636;1;0.560837862;0.785721723;10095677.02;0.07538321;0.084688464
Parauapebas;5617969.341;36772.35;6957.3;687;1;1;1;0;2887;0.3147;0.758640465;0.795339018;0.695461733;0.785120643;0.611851754;0.369883526;0.806197317;1;0.20428083;0.762703773;30754311.16;0.90803809;0.904977249
Pau DArco;36384.553;5578.74;1671.4;856.5;1;1;1;0;541;0.6883;0.495051866;0.321835594;0.549574958;0.613745047;0.189252108;0.048571674;0.472003945;0.205818202;0;0.258134983;1274171.92;0.969026549;0.969249692
Peixe-Boi;23817.724;3008.81;451.3;151;0;0;0;0;978;0.999;0.451686294;0.187655544;0.576390366;0.591012972;0.217342112;0.025903287;0.526318926;0.15451139;0.035007053;0.504504647;1096088.86;0.019886364;0.024201749
