Depth;Sus;Cond;Auppm;Sperc
2061.5;0.044343735;0.021189299;0.010723865;0.002166062
2062;0.283301229;0.607455023;0.113943352;0.033423755
2062.5;0.12499302;0.249198357;0.010723865;0.002166062
2063;0.113525561;0.138302698;0.010723865;0.002166062
2063.5;0.146748014;0.375663614;0.010723865;0.002166062
2064;0.109578547;0.088136089;0.010723865;0.002166062
2064.5;0.096910013;0;0.010723865;0.002166062
2065;0.142780405;0.210853365;0.010723865;0.002166062
2065.5;0.194653072;0.16879202;0.010723865;0.002166062
2066;0.157607853;0.138302698;0.010723865;0.002166062
2066.5;0.180914004;0.088136089;0.010723865;0.002166062
2067;0.191031609;0.161368002;0.010723865;0.002166062
2067.5;0.180340961;0.031408464;0.010723865;0.002166062
2068;0.182200591;0.051152522;0.010723865;0.002166062
2068.5;0.111934276;0.138302698;0.010723865;0.002166062
2069;0.194999703;0.204119983;0.010723865;0.002166062
2069.5;0.252185306;0.505149978;0.136720567;0.029383778
2070;0.271434991;0.322219295;0.136720567;0.029383778
2070.5;0.294135419;0.356981401;0.117271296;0.008600172
2071;0.358410786;0.540954809;0.204119983;0.021189299
2071.5;0.301409837;0.337459261;0.204119983;0.021189299
2072;0.298962182;0.249198357;0.086359831;0.037426498
2072.5;0.331072832;0.922984816;0.086359831;0.037426498
2073;0.54499768;0.726319612;0.1430148;0.06069784
2073.5;0.48440662;0.694605199;0.1430148;0.06069784
2074;0.31874139;0.511883361;0.413299764;0.338456494
2074.5;0.607723024;0.855821905;0.413299764;0.338456494
2075;0.495197318;0.51851394;0.352182518;0.649334859
2075.5;0.63873878;0.962606073;0.352182518;0.649334859
2076;0.632204133;0.873611197;0.149219113;0.004321374
2076.5;0.359835482;0.322219295;0.149219113;0.004321374
2077;0.433369747;0.393575203;0.071882007;0.002166062
2077.5;0.763427994;1.029383778;0.071882007;0.002166062
2078;1.176091259;1.551449998;0.701567985;0.820857989
2078.5;0.551449998;1.055951405;0.701567985;0.820857989
2079;0.777426822;1.156851901;0.161368002;0.562292864
2079.5;0.324436798;0.371067862;0.025305865;0.424881637
2080;0.269979677;0.62838893;0.025305865;0.424881637
2080.5;0.205068964;0.278753601;0.068185862;0.432969291
2081;0.434608819;0.615423953;0.049218023;0.568201724
2081.5;1.135450699;1.753583059;0.049218023;0.568201724
2082;1.15873932;1.677150521;0.404833717;0.657055853
2082.5;2.18610838;2.081887139;0.404833717;0.657055853
2083;1.305190092;1.552059534;0.359835482;0.385606274
2083.5;0.735798438;1.058805487;0.359835482;0.385606274
2084;0.476759192;0.261262869;0.484299839;0.294466226
2084.5;0.871426979;1.215505378;0.093421685;0.285557309
2085;0.656577291;0.795880017;0.093421685;0.285557309
2085.5;1.086715664;1.49762065;0.195899652;1.011570444
2086;0.46686762;0.393575203;0.851258349;0.695481676
2086.5;1.39880773;1.927242006;0.851258349;0.695481676
2087;0.484299839;0.33243846;0.173186268;0.002166062
2087.5;0.234517284;0;0.173186268;0.002166062
2088;0.42975228;0.273001272;0.041392685;0.002166062
2088.5;0.797267541;1.072801149;0.041392685;0.002166062
2089;0.610127613;0.591064607;0.010723865;0.002166062
2089.5;1.400494817;1.326847699;0.010723865;0.002166062
2090;1.30701441;1.285557309;0.041392685;0.002166062
2090.5;0.946329427;0.734399743;0.041392685;0.002166062
2091;0.468716472;0.515211304;0.230448921;0.004321374
2091.5;0.499687083;0.761551989;0.230448921;0.004321374
2092;1.000217093;1.390493527;0.986771734;0.705863712
2092.5;0.937267072;1.287241711;0.986771734;0.705863712
2093;0.237480902;0.311753861;0.46686762;0.008600172
2093.5;0.580924976;0.877946952;0.46686762;0.008600172
2094;0.399457385;0.604765885;0.540329475;0.206825876
2094.5;0.338356873;0.347330015;0.540329475;0.206825876
2095;0.432568465;0.423245874;0.010723865;0.002166062
2095.5;0.210519164;0.352182518;0.010723865;0.002166062
2096;0.300758477;0.384711743;0.010723865;0.002166062
2096.5;0.48036631;0.540954809;0.010723865;0.002166062
2097;0.464638559;0.728353782;0.656098202;0.004321374
2097.5;1.463146137;1.354108439;0.656098202;0.004321374
2098;2.29939833;2.156700553;0.010723865;0.002166062
2098.5;1.334956116;1.384263786;0.010723865;0.002166062
2099;2.155336037;2.022118934;0.010723865;0.002166062
2099.5;2.143717227;2.03802374;0.010723865;0.002166062
2100;0.101059355;0.366422957;0.010723865;0.002166062
2100.5;0.076276255;0.06069784;0.010723865;0.002166062
2101;0.16680001;0.010723865;0.010723865;0.002166062
2101.5;0.114360743;0.021189299;0.010723865;0.002166062
2102;0.106870544;0.041392685;0.010723865;0.002166062
2102.5;0.070222633;0;0.010723865;0.002166062
2103;0.1780412;0.105510185;0.010723865;0.002166062
2103.5;0.36125552;0.525044807;0.010723865;0.002166062
2104;0.274561925;0.230448921;0.010723865;0.002166062
2104.5;0.240985819;0.021189299;0.010723865;0.002166062
2105;0.223301205;0.243038049;0.010723865;0.002166062
2105.5;0.240424433;0;0.010723865;0.002166062
2106;0.429348473;0.720159303;0.010723865;0.002166062
2106.5;0.147753594;0.204119983;0.010723865;0.002166062
2107;0.210986974;0.301029996;0.010723865;0.002166062
2107.5;0.203916359;0.224014811;0.010723865;0.002166062
2108;0.205745541;0.204119983;0.010723865;0.002166062
2108.5;0.238673243;0.146128036;0.010723865;0.002166062
2109;0.345373731;0.130333768;0.010723865;0.002166062
2109.5;0.191031609;0.041392685;0.010723865;0.002166062
2110;0.172748839;0.146128036;0.010723865;0.002166062
2110.5;0.191241362;0.088136089;0.010723865;0.002166062
2111;0.494154594;0.785329835;0.010723865;0.002166062
2111.5;0.264404575;0.389166084;0.010723865;0.002166062
2112;0.248892408;0.051152522;0.010723865;0.002166062
2112.5;0.379758616;0.47348697;0.010723865;0.002166062
2113;0.143639235;0.224014811;0.010723865;0.002166062
2113.5;0.219125891;0.224014811;0.010723865;0.002166062
2114;0.190891717;0.153814864;0.010723865;0.002166062
