Ticker,Retorno Médio Anualizado,Volatilidade Anualizada,Retorno Último Mês,Retorno Últimos 6 Meses,Retorno Últimos 12 Meses,Retorno Últimos 5 Anos,Retorno Últimos 10 Anos,Sharpe Ratio,Beta,VaR 95%,Correlação com IBOV (Últimos 5 Anos)
BRAP4,0.1645361317609653,0.422193086775363,0.04670908458807643,-0.05781180000852981,-0.09541284387615956,0.36800797652770045,0.9488661414502797,0.3186601959509303,1.035092961011044,-0.03987893705489924,0.6047798054787787
BBAS3,0.174147765735055,0.4131202049938939,-0.08170938084268164,-0.04361753655168743,0.1478632926592589,0.13958425787548068,0.7770427401312847,0.34892451154061943,1.1515428861998422,-0.03815692244335004,0.7883695113658418
BRKM5,0.10047198139674647,0.4714614353993461,0.09863757102534798,-0.22580648469213604,0.028571400767513078,-0.32303561509141854,0.33157195444208454,0.14947560098325746,0.9121281464785322,-0.03964875010079362,0.5560881879261781
BRAV3,-3.981056195683974,0.6786185166774619,-0.25846409605099285,,,,,-5.910620027467323,1.6770546248920528,-0.06528916342433502,0.3122737650803718
BRFS3,0.1472019203746291,0.40718640419360713,-0.08107042417602317,0.4621164678173142,1.2344498380533215,-0.35448002214635044,-0.5730242160669325,0.28783357982380586,0.7061553362774313,-0.037174384916695016,0.5031506038668899
BPAC11,0.36360643491064626,0.45159666237540214,-0.08656553323632554,-0.08399096901590597,0.05416802077283944,1.3640661216947354,,0.7387265290134645,1.2373001981360279,-0.03870416974294941,0.7470413820076064
CXSE3,0.15140410649058517,0.29895980772523967,-0.09085176652368576,-0.05570120371695497,0.29121864197459124,,,0.4060883883166066,0.7157543476565658,-0.02931176417605802,0.4319550538480272
CRFB3,-0.016225282187444377,0.3608949773055579,-0.12748164600405465,-0.3650189639775081,-0.05436008452816232,-0.6044528593061624,,-0.1280851358269443,0.6943748728315604,-0.03474328510111957,0.46316122350342487
CCRO3,0.1509775288254813,0.37328520372733753,-0.10360028530348597,-0.10622709522253171,-0.002452962722327756,-0.26060607216574927,-0.35106381359765126,0.32408873327282517,0.8117580237599925,-0.033523335487865444,0.7355439651395801
CMIG4,0.0757300906717148,0.44983447709092855,-0.06297229299822071,0.14416402048994836,0.18820642393173093,0.5172346909100434,0.16120449791417757,0.10165981711195297,0.7930705088504805,-0.03510680442753644,0.6847187077986475
COGN3,0.08741118219640247,0.5669274312866223,-0.10638296433266425,-0.463829769533432,-0.5153846012770067,-0.88246269038457,-0.9215564208271902,0.10126725049467049,1.0882602991809855,-0.04521644546145723,0.619426824114809
CPLE6,0.17813532357774153,0.3623891616999298,-0.08333331877786465,0.04488520966599707,0.1916667480317411,1.0057716177928948,1.5523357604595653,0.4087741556145172,0.8235956796609647,-0.032595058361269406,0.6328569444730665
CSAN3,0.14945123649371186,0.41620601822056763,-0.012667665821719742,-0.1423948114190804,-0.18661760249685855,-0.028414285219778623,0.4946081234651729,0.2870002625248175,0.9337964663116343,-0.03807813925251194,0.7337398444844958
CPFE3,1.0443960125728982,4.0819144572548645,-0.021013336835446372,-0.028008096882621736,0.01461807449516428,0.07151854337694807,0.6278972357022901,0.2485098654554097,0.7489682294178015,-0.027149331942356802,0.6064019127542414
CMIN3,-0.017169133015352698,0.4233212342708998,0.06914002295412125,0.20075755694297914,0.36051509875236465,,,-0.11142633347130261,1.162163347120065,-0.040165663070742375,0.5053207231541285
CVCB3,-0.004842763078371096,0.5918001890899236,-0.03664918034874143,-0.31598513225317604,-0.2840466610219289,-0.9564815575650747,-0.8536068061936182,-0.058875890411513136,1.2752876043202848,-0.052110315784259675,0.590771620316344
CYRE3,0.28880643704490905,0.5199226775519314,-0.021648978957840792,-0.11018018331161894,0.07872012163633646,-0.03586023108960856,0.6042296176961619,0.4977787048326213,1.1867993729845148,-0.04537576466990325,0.7375171407957587
ELET3,0.13771833380795537,0.4852813956040067,-0.09957529764854256,-0.06378799266896762,0.07796605091995623,-0.12141539088498599,4.32419853092972,0.22197087047584727,1.0281504907519252,-0.042590045992643766,0.701365404962047
ELET6,0.13359910125226387,0.44049405067427494,-0.09114187368490645,-0.07111689159427637,0.0881676633980637,-0.05356745404536378,2.6643719664723564,0.23518842330261264,0.8571477200375112,-0.039970588239642224,0.6829471665795598
EMBR3,0.14609302676150082,0.407378241937986,-0.07732480855644475,0.40274804967050337,1.7492520133886522,1.359527490850947,1.0417777167426214,0.28497601199617656,0.6509492321551996,-0.036419494261436244,0.5350321472183954
ENGI11,0.15925285566501918,0.3267125908007927,-0.08385091720566706,-0.0750418089702638,-0.01775802998021858,-0.07193792540314736,2.4948128947666333,0.3956163897700192,0.4563586350805183,-0.027459832348084523,0.6163626287533787
ENEV3,-0.020097241700195546,0.5179242709017559,0.007862802869993857,0.11286505892382492,0.23901583828432482,1.1052631429060447,-0.14017305962176718,-0.09672696282985818,0.5861029896174134,-0.047619051410374924,0.6121640371377349
EGIE3,0.13283337023540429,0.29436948299183086,-0.06550807422985916,0.03453373654575875,0.023925770608911767,-0.04725129053668253,0.39058351587848783,0.3493343440028328,0.51471669935582,-0.02819994257507334,0.598928113225574
EQTL3,0.1361132266842806,0.3652032678196189,-0.07248860870896234,0.007751937984496138,0.03404389705487887,0.6248103363178583,5.352685331363331,0.2905593570337164,0.5063054285008943,-0.02649008545797076,0.6243789359935786
EZTC3,0.1307393587053327,0.4356516402036526,-0.012065299819228326,-0.14232899144149258,-0.21444691785042658,-0.6287999979654948,-0.1607962793992258,0.2312383322102045,0.8765166988986604,-0.04127587902215313,0.6818227563307688
